"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"August","2020","HSD","4843.00","2024-01-03"
"July","2020","HSD","5506.00","2024-01-03"
"June","2020","HSD","6299.00","2024-01-03"
"May","2020","HSD","5494.00","2024-01-03"
"April","2020","HSD","3252.00","2024-01-03"
"August","2023","LDO","75.50","2024-01-03"
"July","2023","LDO","62.51","2024-01-03"
"June","2023","LDO","66.14","2024-01-03"
"May","2023","LDO","69.27","2024-01-03"
"April","2023","LDO","60.71","2024-01-03"
"March","2023","LDO","78.55","2024-01-03"
"February","2023","LDO","56.05","2024-01-03"
"January","2023","LDO","50.20","2024-01-03"
"December","2022","LDO","65.14","2024-01-03"
"November","2022","LDO","56.86","2024-01-03"
"October","2022","LDO","66.19","2024-01-03"
"September","2022","LDO","62.05","2024-01-03"
"August","2022","LDO","66.31","2024-01-03"
"July","2022","LDO","60.01","2024-01-03"
"June","2022","LDO","57.36","2024-01-03"
"May","2022","LDO","54.76","2024-01-03"
"April","2022","LDO","52.14","2024-01-03"
"March","2022","LDO","82.18","2024-01-03"
"February","2022","LDO","84.98","2024-01-03"
"January","2022","LDO","91.52","2024-01-03"
"December","2021","LDO","92.56","2024-01-03"
"November","2021","LDO","64.98","2024-01-03"
"October","2021","LDO","89.56","2024-01-03"
"September","2021","LDO","85.37","2024-01-03"
"August","2021","LDO","82.26","2024-01-03"
"July","2021","LDO","76.99","2024-01-03"
"June","2021","LDO","94.21","2024-01-03"
"May","2021","LDO","76.83","2024-01-03"
"April","2021","LDO","96.06","2024-01-03"
"March","2021","LDO","112.00","2024-01-03"
"February","2021","LDO","80.00","2024-01-03"
"January","2021","LDO","87.00","2024-01-03"
"December","2020","LDO","88.00","2024-01-03"
"November","2020","LDO","69.00","2024-01-03"
"October","2020","LDO","69.00","2024-01-03"
"September","2020","LDO","65.00","2024-01-03"
"August","2020","LDO","62.00","2024-01-03"
"July","2020","LDO","62.00","2024-01-03"
"June","2020","LDO","63.00","2024-01-03"
"May","2020","LDO","71.00","2024-01-03"
"April","2020","LDO","28.00","2024-01-03"
"August","2023","LPG","2460.41","2024-01-03"
"July","2023","LPG","2389.57","2024-01-03"
"June","2023","LPG","2232.86","2024-01-03"
"May","2023","LPG","2347.11","2024-01-03"
"April","2023","LPG","2154.30","2024-01-03"
"March","2023","LPG","2406.46","2024-01-03"
"February","2023","LPG","2391.30","2024-01-03"
"January","2023","LPG","2506.88","2024-01-03"
"December","2022","LPG","2569.59","2024-01-03"
"November","2022","LPG","2461.31","2024-01-03"
"October","2022","LPG","2394.04","2024-01-03"
"September","2022","LPG","2440.86","2024-01-03"
"August","2022","LPG","2388.17","2024-01-03"
"July","2022","LPG","2403.59","2024-01-03"
"June","2022","LPG","2225.50","2024-01-03"
"May","2022","LPG","2158.68","2024-01-03"
"April","2022","LPG","2157.46","2024-01-03"
"March","2022","LPG","2472.33","2024-01-03"
"February","2022","LPG","2393.47","2024-01-03"
"January","2022","LPG","2562.19","2024-01-03"
"December","2021","LPG","2469.33","2024-01-03"
"November","2021","LPG","2335.97","2024-01-03"
